slice,size,artifact_rate,dom_class,dom_class_perc,accuracy,split
0,537,0.5027932960893855,8,0.35940409683426444,0.9757914338919925,val
1,141,0.475177304964539,7,1.0,0.9574468085106383,val
2,612,0.5179738562091504,0,0.33169934640522875,0.9477124183006536,val
3,132,0.3333333333333333,2,0.9318181818181818,0.946969696969697,val
4,183,0.5300546448087432,6,0.9836065573770492,0.9508196721311475,val
5,53,1.0,2,0.8867924528301887,0.9811320754716981,val
6,59,0.5084745762711864,3,1.0,1.0,val
7,217,0.5529953917050692,4,0.9585253456221198,0.9815668202764977,val
0,564,0.4787234042553192,8,0.32092198581560283,0.9645390070921985,test
1,124,0.5241935483870968,7,1.0,0.9354838709677419,test
2,628,0.5557324840764332,1,0.3232484076433121,0.9522292993630573,test
3,145,0.33793103448275863,2,0.9379310344827586,0.9586206896551724,test
4,209,0.5406698564593302,6,0.9712918660287081,0.9569377990430622,test
5,44,1.0,2,0.9090909090909091,0.9772727272727273,test
6,65,0.5692307692307692,3,0.9846153846153847,0.9692307692307692,test
7,212,0.5141509433962265,4,0.9386792452830188,0.9764150943396226,test
